speaker_distance,a,b,c
2,20.181187680709236,46.35788605002171,-61.66235711866215
3,20.503209287644715,45.62463843057942,-61.86304669592545
4,20.72018797190111,6.026985795133253,-20.1215316220071
5,21.06183757368732,4.888294974490829,-15.908193043161173
6,22.467079706291756,45.68454937240123,-72.96507945350223
7,20.98315138311376,4.744452445176766,-13.696610332623703
8,21.047423328475315,4.896511248606414,-13.431830522707678
9,21.71558998179585,4.790321824701653,-16.140398797616797
10,21.23836436726389,5.0254535367913284,-14.510258432009389
11,21.33975092168866,7.7751542346427645,-24.341002859744467
12,21.339412132667846,5.444116050374439,-15.739908569395464
