,event_id,subject,sound_type,n_sounds,response,is_correct,mean_speaker_distance,speaker_dist_st_dev
0,0,101,countries,6,3.0,False,6.833333333333333,2.857738033247041
0,1,101,countries,5,4.0,False,7.0,2.9154759474226504
0,2,101,countries,6,3.0,False,6.666666666666667,2.804757862395017
0,3,101,countries,3,3.0,True,7.333333333333333,4.725815626252608
0,4,101,countries,5,4.0,False,6.0,3.872983346207417
0,5,101,countries,5,5.0,True,5.4,2.701851217221259
0,6,101,countries,3,3.0,True,8.0,4.58257569495584
0,7,101,countries,3,2.0,False,5.0,2.0
0,8,101,countries,5,3.0,False,5.2,3.1144823004794877
0,9,101,countries,2,1.0,False,4.5,3.5355339059327378
0,10,101,countries,5,3.0,False,7.0,3.391164991562634
0,11,101,countries,5,5.0,True,4.8,3.1144823004794877
0,12,101,countries,6,6.0,True,7.333333333333333,2.581988897471611
0,13,101,countries,3,2.0,False,5.333333333333333,1.5275252316519465
0,14,101,countries,2,1.0,False,9.5,0.7071067811865476
0,15,101,countries,2,2.0,True,8.5,3.5355339059327378
0,16,101,countries,5,3.0,False,4.8,2.7748873851023212
0,17,101,countries,5,3.0,False,7.8,3.1144823004794877
0,18,101,countries,4,4.0,True,9.0,2.581988897471611
0,19,101,countries,3,3.0,True,5.666666666666667,4.041451884327381
0,20,101,countries,4,2.0,False,6.0,2.943920288775949
0,21,101,countries,4,2.0,False,4.75,2.217355782608345
0,22,101,countries,4,4.0,True,8.0,3.6514837167011076
0,23,101,countries,4,5.0,False,7.25,4.573474244670748
