event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,1,0.0,6.0,7.0,90.06666666666666,86.84444444444446,babble,syllable,p256,syllable_rms,90.06666666666666,90.84444444444446
1,1,-8.5,3.0,7.0,88.06666666666666,81.84444444444446,babble,syllable,p256,syllable_rms,88.06666666666666,90.84444444444446
2,1,-9.0,4.0,7.0,88.40000000000002,80.84444444444446,babble,syllable,p256,syllable_rms,88.4,90.84444444444446
3,1,-5.25,2.0,7.0,86.2,84.84444444444446,babble,syllable,p256,syllable_rms,86.2,90.84444444444446
4,1,-6.25,5.0,7.0,89.82222222222222,85.84444444444446,babble,syllable,p256,syllable_rms,89.82222222222222,90.84444444444446
5,1,-5.75,9.0,7.0,91.64444444444445,82.84444444444446,babble,syllable,p256,syllable_rms,91.64444444444445,90.84444444444446
6,1,-10.0,12.0,7.0,91.48888888888892,80.84444444444446,babble,syllable,p256,syllable_rms,91.4888888888889,90.84444444444446
7,1,-2.25,8.0,7.0,91.28888888888888,88.84444444444446,babble,syllable,p256,syllable_rms,91.28888888888888,90.84444444444446
8,1,-6.75,10.0,7.0,91.53333333333332,83.84444444444446,babble,syllable,p256,syllable_rms,91.53333333333332,90.84444444444446
9,1,-8.5,11.0,7.0,91.66666666666666,80.84444444444446,babble,syllable,p256,syllable_rms,91.66666666666669,90.84444444444446
10,1,-15.5,6.0,7.0,90.06666666666666,75.84444444444446,pinknoise,syllable,p245,syllable_rms,90.06666666666666,90.84444444444446
11,1,-12.0,2.0,7.0,86.20000000000002,75.84444444444445,pinknoise,syllable,p245,syllable_rms,86.2,90.84444444444446
12,1,-11.0,3.0,7.0,88.06666666666666,78.84444444444446,pinknoise,syllable,p245,syllable_rms,88.06666666666666,90.84444444444446
13,1,-11.25,4.0,7.0,88.40000000000002,77.84444444444446,pinknoise,syllable,p245,syllable_rms,88.4,90.84444444444446
14,1,-13.0,5.0,7.0,89.82222222222222,75.84444444444446,pinknoise,syllable,p245,syllable_rms,89.82222222222222,90.84444444444446
15,1,-13.75,11.0,7.0,91.66666666666666,73.84444444444446,pinknoise,syllable,p245,syllable_rms,91.66666666666669,90.84444444444446
16,1,-9.75,9.0,7.0,91.64444444444445,79.84444444444446,pinknoise,syllable,p245,syllable_rms,91.64444444444445,90.84444444444446
17,1,-17.0,12.0,7.0,91.4888888888889,70.84444444444446,pinknoise,syllable,p245,syllable_rms,91.4888888888889,90.84444444444446
18,1,-16.0,10.0,7.0,91.53333333333336,75.84444444444446,pinknoise,syllable,p245,syllable_rms,91.53333333333332,90.84444444444446
19,1,-15.5,8.0,7.0,91.28888888888888,72.84444444444446,pinknoise,syllable,p245,syllable_rms,91.28888888888888,90.84444444444446
